Problem: 0, Score: 10103 (max: 12539), PowerScore: 10, Rank: 2
Problem: 1, Score: 5564 (max: 6158), PowerScore: 2, Rank: 6
Problem: 2, Score: 15598 (max: 19907), PowerScore: 10, Rank: 7
Problem: 3, Score: 13128 (max: 13155), PowerScore: 10, Rank: 2
Problem: 4, Score: 12637 (max: 26928), PowerScore: 10, Rank: 12
Problem: 5, Score: 9772 (max: 11450), PowerScore: 10, Rank: 2
Problem: 6, Score: 13809 (max: 16565), PowerScore: 10, Rank: 2
Problem: 7, Score: 9330 (max: 11209), PowerScore: 10, Rank: 2
Problem: 8, Score: 17671 (max: 21316), PowerScore: 7, Rank: 5
Problem: 9, Score: 5337 (max: 29557), PowerScore: 8, Rank: 22
Problem: 10, Score: 8248 (max: 10592), PowerScore: 8, Rank: 4
Problem: 11, Score: 5770 (max: 7465), PowerScore: 10, Rank: 4
Problem: 12, Score: 14678 (max: 15916), PowerScore: 10, Rank: 2
Problem: 13, Score: 3494 (max: 4702), PowerScore: 10, Rank: 6
Problem: 14, Score: 102646 (max: 109796), PowerScore: 11, Rank: 3
Problem: 15, Score: 6686 (max: 11142), PowerScore: 10, Rank: 8
Problem: 16, Score: 13490 (max: 16096), PowerScore: 10, Rank: 2
Problem: 17, Score: 6210 (max: 7716), PowerScore: 2, Rank: 10
Problem: 18, Score: 17618 (max: 72896), PowerScore: 10, Rank: 6
Problem: 19, Score: 6088 (max: 7458), PowerScore: 2, Rank: 10
Problem: 20, Score: 10660 (max: 12464), PowerScore: 10, Rank: 2
Problem: 21, Score: 1522 (max: 1606), PowerScore: 2, Rank: 6
Problem: 22, Score: 8892 (max: 10630), PowerScore: 8, Rank: 4
Problem: 23, Score: 2312 (max: 11022), PowerScore: 2, Rank: 18
Problem: 24, Score: 241048 (max: 306206), PowerScore: 11, Rank: 6
