BoardId: 0, Score: 6777, PowerScore: 0, Rank: 5
BoardId: 1, Score: 800, PowerScore: 0, Rank: 33
BoardId: 2, Score: 10398, PowerScore: 0, Rank: 2
BoardId: 3, Score: 8102, PowerScore: 0, Rank: 1
BoardId: 4, Score: 8406, PowerScore: 0, Rank: 6
BoardId: 5, Score: 6091, PowerScore: 0, Rank: 1
BoardId: 6, Score: 9901, PowerScore: 0, Rank: 4
BoardId: 7, Score: 5194, PowerScore: 0, Rank: 2
BoardId: 8, Score: 5958, PowerScore: 0, Rank: 31
BoardId: 9, Score: 2205, PowerScore: 0, Rank: 16
BoardId: 10, Score: 2400, PowerScore: 0, Rank: 24
BoardId: 11, Score: 2580, PowerScore: 0, Rank: 4
BoardId: 12, Score: 8394, PowerScore: 0, Rank: 2
BoardId: 13, Score: 1882, PowerScore: 0, Rank: 3
BoardId: 14, Score: 54490, PowerScore: 0, Rank: 4
BoardId: 15, Score: 3498, PowerScore: 0, Rank: 6
BoardId: 16, Score: 8298, PowerScore: 0, Rank: 2
BoardId: 17, Score: 1400, PowerScore: 0, Rank: 24
BoardId: 18, Score: 7514, PowerScore: 0, Rank: 6
BoardId: 19, Score: 1300, PowerScore: 0, Rank: 26
BoardId: 20, Score: 1744, PowerScore: 0, Rank: 26
BoardId: 21, Score: 620, PowerScore: 0, Rank: 26
BoardId: 22, Score: 2600, PowerScore: 0, Rank: 27
BoardId: 23, Score: 130, PowerScore: 0, Rank: 55
BoardId: 24, Score: 0, PowerScore: 0, Rank: 52
